process id is 1; arrival time is 0; service time is 1; num of pages is 10
process id is 2; arrival time is 1; service time is 3; num of pages is 30
process id is 3; arrival time is 2; service time is 1; num of pages is 10
process id is 4; arrival time is 2; service time is 4; num of pages is 40
process id is 5; arrival time is 4; service time is 2; num of pages is 20
process id is 6; arrival time is 5; service time is 2; num of pages is 20
process id is 7; arrival time is 6; service time is 2; num of pages is 20
process id is 8; arrival time is 6; service time is 2; num of pages is 20
process id is 9; arrival time is 7; service time is 4; num of pages is 40
process id is 10; arrival time is 7; service time is 5; num of pages is 50
process id is 11; arrival time is 7; service time is 2; num of pages is 20
process id is 12; arrival time is 7; service time is 3; num of pages is 30
process id is 13; arrival time is 9; service time is 3; num of pages is 30
process id is 14; arrival time is 9; service time is 4; num of pages is 40
process id is 15; arrival time is 9; service time is 3; num of pages is 30
process id is 16; arrival time is 9; service time is 2; num of pages is 20
process id is 17; arrival time is 10; service time is 1; num of pages is 10
process id is 18; arrival time is 11; service time is 3; num of pages is 30
process id is 19; arrival time is 11; service time is 5; num of pages is 50
process id is 20; arrival time is 11; service time is 3; num of pages is 30
process id is 21; arrival time is 11; service time is 1; num of pages is 10
process id is 22; arrival time is 12; service time is 3; num of pages is 30
process id is 23; arrival time is 12; service time is 5; num of pages is 50
process id is 24; arrival time is 12; service time is 5; num of pages is 50
process id is 25; arrival time is 13; service time is 5; num of pages is 50
process id is 26; arrival time is 13; service time is 1; num of pages is 10
process id is 27; arrival time is 13; service time is 3; num of pages is 30
process id is 28; arrival time is 14; service time is 5; num of pages is 50
process id is 29; arrival time is 14; service time is 3; num of pages is 30
process id is 30; arrival time is 14; service time is 5; num of pages is 50
process id is 31; arrival time is 16; service time is 1; num of pages is 10
process id is 32; arrival time is 17; service time is 1; num of pages is 10
process id is 33; arrival time is 17; service time is 5; num of pages is 50
process id is 34; arrival time is 18; service time is 5; num of pages is 50
process id is 35; arrival time is 18; service time is 5; num of pages is 50
process id is 36; arrival time is 18; service time is 1; num of pages is 10
