process id is 1; arrival time is 0; service time is 5; num of pages is 50
process id is 2; arrival time is 1; service time is 4; num of pages is 40
process id is 3; arrival time is 1; service time is 1; num of pages is 10
process id is 4; arrival time is 1; service time is 4; num of pages is 40
process id is 5; arrival time is 1; service time is 4; num of pages is 40
process id is 6; arrival time is 2; service time is 2; num of pages is 20
process id is 7; arrival time is 2; service time is 3; num of pages is 30
process id is 8; arrival time is 2; service time is 2; num of pages is 20
process id is 9; arrival time is 3; service time is 4; num of pages is 40
process id is 10; arrival time is 3; service time is 2; num of pages is 20
process id is 11; arrival time is 4; service time is 5; num of pages is 50
process id is 12; arrival time is 4; service time is 3; num of pages is 30
process id is 13; arrival time is 4; service time is 4; num of pages is 40
process id is 14; arrival time is 5; service time is 4; num of pages is 40
process id is 15; arrival time is 7; service time is 5; num of pages is 50
process id is 16; arrival time is 7; service time is 5; num of pages is 50
process id is 17; arrival time is 7; service time is 2; num of pages is 20
process id is 18; arrival time is 7; service time is 4; num of pages is 40
process id is 19; arrival time is 7; service time is 2; num of pages is 20
process id is 20; arrival time is 8; service time is 1; num of pages is 10
process id is 21; arrival time is 8; service time is 5; num of pages is 50
process id is 22; arrival time is 8; service time is 1; num of pages is 10
process id is 23; arrival time is 10; service time is 4; num of pages is 40
process id is 24; arrival time is 10; service time is 5; num of pages is 50
process id is 25; arrival time is 10; service time is 1; num of pages is 10
process id is 26; arrival time is 11; service time is 4; num of pages is 40
process id is 27; arrival time is 11; service time is 4; num of pages is 40
process id is 28; arrival time is 11; service time is 5; num of pages is 50
process id is 29; arrival time is 12; service time is 5; num of pages is 50
process id is 30; arrival time is 12; service time is 5; num of pages is 50
process id is 31; arrival time is 13; service time is 2; num of pages is 20
process id is 32; arrival time is 13; service time is 5; num of pages is 50
process id is 33; arrival time is 13; service time is 5; num of pages is 50
process id is 34; arrival time is 13; service time is 4; num of pages is 40
process id is 35; arrival time is 14; service time is 2; num of pages is 20
process id is 36; arrival time is 14; service time is 5; num of pages is 50
process id is 37; arrival time is 15; service time is 2; num of pages is 20
process id is 38; arrival time is 15; service time is 3; num of pages is 30
process id is 39; arrival time is 15; service time is 5; num of pages is 50
process id is 40; arrival time is 16; service time is 5; num of pages is 50
process id is 41; arrival time is 16; service time is 2; num of pages is 20
process id is 42; arrival time is 16; service time is 3; num of pages is 30
process id is 43; arrival time is 16; service time is 4; num of pages is 40
process id is 44; arrival time is 16; service time is 3; num of pages is 30
process id is 45; arrival time is 16; service time is 3; num of pages is 30
process id is 46; arrival time is 17; service time is 4; num of pages is 40
process id is 47; arrival time is 18; service time is 1; num of pages is 10
process id is 48; arrival time is 18; service time is 5; num of pages is 50
process id is 49; arrival time is 18; service time is 1; num of pages is 10
process id is 50; arrival time is 20; service time is 2; num of pages is 20
process id is 51; arrival time is 20; service time is 3; num of pages is 30
process id is 52; arrival time is 20; service time is 2; num of pages is 20
process id is 53; arrival time is 21; service time is 2; num of pages is 20
process id is 54; arrival time is 21; service time is 1; num of pages is 10
process id is 55; arrival time is 21; service time is 5; num of pages is 50
process id is 56; arrival time is 21; service time is 3; num of pages is 30
process id is 57; arrival time is 22; service time is 2; num of pages is 20
process id is 58; arrival time is 22; service time is 1; num of pages is 10
process id is 59; arrival time is 22; service time is 1; num of pages is 10
process id is 60; arrival time is 22; service time is 5; num of pages is 50
process id is 61; arrival time is 22; service time is 4; num of pages is 40
process id is 62; arrival time is 22; service time is 4; num of pages is 40
process id is 63; arrival time is 23; service time is 3; num of pages is 30
process id is 64; arrival time is 23; service time is 4; num of pages is 40
process id is 65; arrival time is 24; service time is 2; num of pages is 20
process id is 66; arrival time is 24; service time is 2; num of pages is 20
process id is 67; arrival time is 26; service time is 4; num of pages is 40
process id is 68; arrival time is 26; service time is 3; num of pages is 30
process id is 69; arrival time is 26; service time is 5; num of pages is 50
process id is 70; arrival time is 27; service time is 1; num of pages is 10
process id is 71; arrival time is 27; service time is 4; num of pages is 40
process id is 72; arrival time is 28; service time is 4; num of pages is 40
process id is 73; arrival time is 28; service time is 3; num of pages is 30
process id is 74; arrival time is 28; service time is 5; num of pages is 50
process id is 75; arrival time is 28; service time is 4; num of pages is 40
process id is 76; arrival time is 28; service time is 1; num of pages is 10
process id is 77; arrival time is 28; service time is 4; num of pages is 40
process id is 78; arrival time is 28; service time is 2; num of pages is 20
process id is 79; arrival time is 28; service time is 4; num of pages is 40
process id is 80; arrival time is 29; service time is 2; num of pages is 20
process id is 81; arrival time is 30; service time is 1; num of pages is 10
process id is 82; arrival time is 30; service time is 1; num of pages is 10
process id is 83; arrival time is 32; service time is 5; num of pages is 50
process id is 84; arrival time is 33; service time is 3; num of pages is 30
process id is 85; arrival time is 34; service time is 1; num of pages is 10
process id is 86; arrival time is 34; service time is 2; num of pages is 20
process id is 87; arrival time is 34; service time is 1; num of pages is 10
process id is 88; arrival time is 34; service time is 4; num of pages is 40
process id is 89; arrival time is 34; service time is 2; num of pages is 20
process id is 90; arrival time is 35; service time is 3; num of pages is 30
process id is 91; arrival time is 35; service time is 4; num of pages is 40
process id is 92; arrival time is 36; service time is 1; num of pages is 10
process id is 93; arrival time is 36; service time is 5; num of pages is 50
process id is 94; arrival time is 36; service time is 1; num of pages is 10
process id is 95; arrival time is 37; service time is 1; num of pages is 10
process id is 96; arrival time is 37; service time is 4; num of pages is 40
process id is 97; arrival time is 38; service time is 4; num of pages is 40
process id is 98; arrival time is 38; service time is 1; num of pages is 10
process id is 99; arrival time is 38; service time is 1; num of pages is 10
process id is 100; arrival time is 38; service time is 3; num of pages is 30
process id is 101; arrival time is 39; service time is 3; num of pages is 30
process id is 102; arrival time is 39; service time is 5; num of pages is 50
process id is 103; arrival time is 40; service time is 3; num of pages is 30
process id is 104; arrival time is 40; service time is 2; num of pages is 20
process id is 105; arrival time is 40; service time is 4; num of pages is 40
process id is 106; arrival time is 40; service time is 5; num of pages is 50
process id is 107; arrival time is 40; service time is 5; num of pages is 50
process id is 108; arrival time is 41; service time is 2; num of pages is 20
process id is 109; arrival time is 41; service time is 5; num of pages is 50
process id is 110; arrival time is 41; service time is 5; num of pages is 50
process id is 111; arrival time is 41; service time is 1; num of pages is 10
process id is 112; arrival time is 42; service time is 3; num of pages is 30
process id is 113; arrival time is 42; service time is 5; num of pages is 50
process id is 114; arrival time is 42; service time is 4; num of pages is 40
process id is 115; arrival time is 42; service time is 5; num of pages is 50
process id is 116; arrival time is 42; service time is 1; num of pages is 10
process id is 117; arrival time is 44; service time is 4; num of pages is 40
process id is 118; arrival time is 45; service time is 4; num of pages is 40
process id is 119; arrival time is 46; service time is 2; num of pages is 20
process id is 120; arrival time is 47; service time is 4; num of pages is 40
process id is 121; arrival time is 47; service time is 3; num of pages is 30
process id is 122; arrival time is 47; service time is 3; num of pages is 30
process id is 123; arrival time is 48; service time is 3; num of pages is 30
process id is 124; arrival time is 48; service time is 4; num of pages is 40
process id is 125; arrival time is 48; service time is 2; num of pages is 20
process id is 126; arrival time is 49; service time is 5; num of pages is 50
process id is 127; arrival time is 49; service time is 1; num of pages is 10
process id is 128; arrival time is 49; service time is 1; num of pages is 10
process id is 129; arrival time is 49; service time is 1; num of pages is 10
process id is 130; arrival time is 50; service time is 4; num of pages is 40
process id is 131; arrival time is 50; service time is 4; num of pages is 40
process id is 132; arrival time is 50; service time is 3; num of pages is 30
process id is 133; arrival time is 50; service time is 2; num of pages is 20
process id is 134; arrival time is 51; service time is 1; num of pages is 10
process id is 135; arrival time is 51; service time is 5; num of pages is 50
process id is 136; arrival time is 51; service time is 3; num of pages is 30
process id is 137; arrival time is 52; service time is 2; num of pages is 20
process id is 138; arrival time is 53; service time is 3; num of pages is 30
process id is 139; arrival time is 53; service time is 2; num of pages is 20
process id is 140; arrival time is 53; service time is 1; num of pages is 10
process id is 141; arrival time is 54; service time is 3; num of pages is 30
process id is 142; arrival time is 54; service time is 2; num of pages is 20
process id is 143; arrival time is 55; service time is 1; num of pages is 10
process id is 144; arrival time is 55; service time is 3; num of pages is 30
process id is 145; arrival time is 55; service time is 1; num of pages is 10
process id is 146; arrival time is 56; service time is 1; num of pages is 10
process id is 147; arrival time is 57; service time is 2; num of pages is 20
process id is 148; arrival time is 57; service time is 1; num of pages is 10
process id is 149; arrival time is 58; service time is 2; num of pages is 20
process id is 150; arrival time is 59; service time is 1; num of pages is 10

Start the simulation
= Time Stamp 0:00 - Process Name: 1 - Enter - Size in Pages: 11 - Service Duration: 5 = 

= Time Stamp 0:00
  Process 1's virtual page 0 will be evicted if needed.
  Process 1 is under service, its reference page (virtual_page:physical_page) is: (0:0), (1:1), (4:2), (7:3), (2:4), 

= Memory Map: =
1 1 1 1 1 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
= Time Stamp 0:01 - Process Name: 2 - Enter - Size in Pages: 17 - Service Duration: 4 = 
= Time Stamp 0:01 - Process Name: 3 - Enter - Size in Pages: 31 - Service Duration: 1 = 
= Time Stamp 0:01 - Process Name: 4 - Enter - Size in Pages: 11 - Service Duration: 4 = 
= Time Stamp 0:01 - Process Name: 5 - Enter - Size in Pages: 11 - Service Duration: 4 = 

= Time Stamp 0:01
  Process 1's virtual page 0 will be evicted if needed.
  Process 1 is under service, its reference page (virtual_page:physical_page) is: (0:0), (1:1), (4:2), (7:3), (2:4), (3:5), (10:21), 
  Process 2 is under service, its reference page (virtual_page:physical_page) is: (0:6), (16:10), (15:14), (14:22), 
  Process 3 is under service, its reference page (virtual_page:physical_page) is: (0:7), (1:11), (2:15), (3:23), (4:26), (5:28), 
  Process 4 is under service, its reference page (virtual_page:physical_page) is: (0:8), (4:12), (5:16), (2:18), (1:20), (9:25), (8:27), (10:29), 
  Process 5 is under service, its reference page (virtual_page:physical_page) is: (0:9), (1:13), (4:17), (5:19), (2:24), (6:30), (10:31), 

= Memory Map: =
1 1 1 1 1 1 2 3 4 5 2 3 4 5 2 3 4 5 4 5 4 1 2 3 5 4 3 4 3 4 5 5 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
= Time Stamp 0:02 - Process Name: 3 - Exit - Size in Pages: 31 - Service Duration: 1 = 

= Time Stamp 0:02 - Process Name: 6 - Enter - Size in Pages: 11 - Service Duration: 2 = 
= Time Stamp 0:02 - Process Name: 7 - Enter - Size in Pages: 11 - Service Duration: 3 = 
= Time Stamp 0:02 - Process Name: 8 - Enter - Size in Pages: 17 - Service Duration: 2 = 

= Time Stamp 0:02
  Process 1's virtual page 0 will be evicted if needed.
  Process 1 is under service, its reference page (virtual_page:physical_page) is: (0:0), (1:1), (4:2), (7:3), (2:4), (3:5), (10:21), (9:36), (8:48), 
  Process 2 is under service, its reference page (virtual_page:physical_page) is: (0:6), (16:10), (15:14), (14:22), (11:42), (5:46), (7:49), 
  Process 4 is under service, its reference page (virtual_page:physical_page) is: (0:8), (4:12), (5:16), (2:18), (1:20), (9:25), (8:27), (10:29), 
  Process 5 is under service, its reference page (virtual_page:physical_page) is: (0:9), (1:13), (4:17), (5:19), (2:24), (6:30), (10:31), (9:7), (8:32), (7:39), (3:43), 
  Process 6 is under service, its reference page (virtual_page:physical_page) is: (0:11), (2:26), (10:33), (3:37), (4:40), (1:45), 
  Process 7 is under service, its reference page (virtual_page:physical_page) is: (0:15), (9:28), (10:34), (8:44), (7:47), 
  Process 8 is under service, its reference page (virtual_page:physical_page) is: (0:23), (1:35), (6:38), (7:41), 

= Memory Map: =
1 1 1 1 1 1 2 5 4 5 2 6 4 5 2 7 4 5 4 5 4 1 2 8 5 4 6 4 7 4 5 5 5 6 7 8 1 6 8 5 6 8 2 5 7 6 2 7 1 2 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
= Time Stamp 0:03 - Process Name: 9 - Enter - Size in Pages: 5 - Service Duration: 4 = 
= Time Stamp 0:03 - Process Name: 10 - Enter - Size in Pages: 11 - Service Duration: 2 = 

= Time Stamp 0:03
  Process 1's virtual page 0 will be evicted if needed.
  Process 1 is under service, its reference page (virtual_page:physical_page) is: (0:0), (1:1), (4:2), (7:3), (2:4), (3:5), (10:21), (9:36), (8:48), (5:63), 
  Process 2 is under service, its reference page (virtual_page:physical_page) is: (0:6), (16:10), (15:14), (14:22), (11:42), (5:46), (7:49), (1:53), (13:56), (3:66), 
  Process 4 is under service, its reference page (virtual_page:physical_page) is: (0:8), (4:12), (5:16), (2:18), (1:20), (9:25), (8:27), (10:29), 
  Process 5 is under service, its reference page (virtual_page:physical_page) is: (0:9), (1:13), (4:17), (5:19), (2:24), (6:30), (10:31), (9:7), (8:32), (7:39), (3:43), 
  Process 6 is under service, its reference page (virtual_page:physical_page) is: (0:11), (2:26), (10:33), (3:37), (4:40), (1:45), (5:59), 
  Process 7 is under service, its reference page (virtual_page:physical_page) is: (0:15), (9:28), (10:34), (8:44), (7:47), (3:50), (2:54), (1:60), 
  Process 8 is under service, its reference page (virtual_page:physical_page) is: (0:23), (1:35), (6:38), (7:41), (10:62), (9:64), (13:67), (5:69), 
  Process 9 is under service, its reference page (virtual_page:physical_page) is: (0:51), (3:55), (4:57), 
  Process 10 is under service, its reference page (virtual_page:physical_page) is: (0:52), (1:58), (4:61), (2:65), (3:68), 

= Memory Map: =
1 1 1 1 1 1 2 5 4 5 2 6 4 5 2 7 4 5 4 5 4 1 2 8 5 4 6 4 7 4 5 5 5 6 7 8 1 6 8 5 6 8 2 5 7 6 2 7 1 2 7 9 10 2 7 9 2 9 10 6 7 10 8 1 8 10 2 8 10 8 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
